advisory_id,ecosystem,package_id,release_id,commit_count,file_count,loc_change,contributor_count,ifcve,severity,fix_to_release_delay
SNYK-PHP-AMPHPHTTP-72105,Composer,2396,7946,2,4,78,2,noncve,M,0.0
SNYK-PHP-ONELOGINPHPSAML-70119,Composer,3351,8131,14,9,171,5,noncve,M,0.0
SNYK-PYTHON-DJANGOALLAUTH-564371,pip,1334,1127,39,75,1648,19,cve,M,0.0
SNYK-PHP-DRUPALCORE-572904,Composer,271,7342,4,11,91,1,cve,H,-0.0
SNYK-JS-IMMER-1019369,npm,159,365,15,6,136,9,cve,H,0.0
SNYK-PHP-SYMFONYSYMFONY-70380,Composer,1391,7729,8,20,728,4,cve,M,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORK-31328,Maven,2917,5170,38,108,4015,6,cve,M,0.0
SNYK-JS-ABSOLUNETKAFE-1017403,npm,356,1,2,4,20,1,cve,M,0.0
SNYK-JS-NODEMAILER-1038834,npm,374,560,1,37,1332,1,cve,H,0.0
npm:node-srv:20180125,npm,3517,551,2,1,12,1,cve,H,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORK-72470,Maven,2164,4933,19,35,859,3,cve,L,0.0
npm:bl:20160119,npm,3034,91,8,2,21,3,noncve,M,0.0
SNYK-PYTHON-DJANGOJET-40655,pip,2638,1145,9,6,38,1,noncve,M,0.0
SNYK-JS-SWAGGERUI-572012,npm,756,753,29,48,458,11,noncve,M,0.0
SNYK-PHP-ROBRICHARDSXMLSECLIBS-480443,Composer,1414,7757,1,2,18,1,cve,H,0.0
SNYK-PYTHON-DJANGOHASHIDFIELD-568867,pip,870,1143,3,4,133,1,noncve,M,0.0
SNYK-GOLANG-GITHUBCOMHELMHELMPKGPLUGININSTALLER-572401,Go,3856,8878,1,2,91,1,cve,H,0.0
SNYK-JS-MIXINDEEP-450212,npm,1786,498,2,1,18,1,cve,H,0.0
SNYK-JAVA-ORGAPACHECASSANDRA-609350,Maven,138,4236,12,9,742,6,cve,H,0.0
SNYK-JAVA-ORGMEMBRANESOA-1015413,Maven,672,4468,11,16,508,4,noncve,M,0.0
SNYK-RUBY-SPREEBACKEND-20475,RubyGems,2534,5578,1,17,124,1,noncve,M,0.0
SNYK-JAVA-ORGAPACHETOMCATEMBED-451342,Maven,677,4505,106,72,15197,6,cve,H,0.0
SNYK-PHP-SIMPLESAMLPHPSAML2-72102,Composer,2420,7964,2,2,22,1,cve,H,0.0
SNYK-PHP-TYPO3CMSCORE-538235,Composer,594,7514,9,69,1232,3,noncve,M,0.0
SNYK-JS-NODEOSUTILS-173696,npm,2011,541,4,8,76,1,noncve,H,0.0
SNYK-RUBY-OX-20438,RubyGems,2617,8224,3,4,16,1,cve,H,0.0
SNYK-JAVA-ORGAPACHETOMCATEMBED-451511,Maven,677,4517,40,44,1380,7,cve,M,0.0
SNYK-PYTHON-BLEACH-561754,pip,1198,1014,2,3,47,1,cve,H,0.0
SNYK-JS-BESTZIP-609371,npm,509,86,3,1,147,1,cve,H,0.0
SNYK-PYTHON-PRIORITY-40408,pip,2989,1357,19,5,62,2,cve,H,0.0
SNYK-JS-HIGHLIGHTJS-1045326,npm,297,340,2,3,18,2,cve,M,0.0
SNYK-JAVA-ORGAPACHECASSANDRA-609350,Maven,138,4238,38,83,4661,16,cve,H,0.0
SNYK-JS-FTPSRV-598863,npm,71,300,1,10,71,1,cve,H,0.0
SNYK-RUBY-CARRIERWAVE-1070798,RubyGems,93,5466,3,13,304,1,cve,M,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORKSECURITYOAUTH-72464,Maven,2003,4877,3,2,284,1,cve,H,0.0
SNYK-PYTHON-DJANGOUSERSESSIONS-543286,pip,1302,1151,2,3,6,1,cve,M,0.0
npm:hapi:20151228,npm,3074,335,2,3,52,1,cve,M,0.0
SNYK-JS-IDSENTERPRISE-449633,npm,1590,361,9,6,88,2,noncve,M,0.0
SNYK-PYTHON-DJANGO-1076802,pip,510,1066,5,6,69,3,cve,M,0.0
SNYK-JS-PLOTLYJS-455599,npm,1718,601,7,8,321,2,cve,M,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORKINTEGRATION-73517,Maven,2068,4903,8,19,688,3,cve,H,0.0
SNYK-PHP-TYPO3CMSCORE-538231,Composer,594,7513,138,243,7800,53,noncve,M,0.0
SNYK-PHP-SYMFONYSYMFONY-70380,Composer,1391,7730,19,22,777,5,cve,M,0.0
